timestamp_ms,datetime,date,time,hour,day_of_week,open,high,low,close,volume,range,body,upper_wick,lower_wick,is_green,price_change,price_change_pct
1747497600000,2025-05-17 16:00:00,2025-05-17,16:00:00,16,Saturday,102877.0,102963.0,102645.0,102724.0,990.0,318.0,153.0,86.0,79.0,0,-153.0,-0.14872128852902008
1747501200000,2025-05-17 17:00:00,2025-05-17,17:00:00,17,Saturday,102724.0,103188.0,102716.0,103135.0,1551.0,472.0,411.0,53.0,8.0,1,411.0,0.40010124216346715
1747504800000,2025-05-17 18:00:00,2025-05-17,18:00:00,18,Saturday,103136.0,103187.0,102946.0,102952.0,1277.0,241.0,184.0,51.0,6.0,0,-184.0,-0.17840521253490538
1747508400000,2025-05-17 19:00:00,2025-05-17,19:00:00,19,Saturday,102952.0,103118.0,102768.0,102962.0,1729.0,350.0,10.0,156.0,184.0,1,10.0,0.009713264433910948
1747512000000,2025-05-17 20:00:00,2025-05-17,20:00:00,20,Saturday,102967.0,103313.0,102945.0,103144.0,1577.0,368.0,177.0,169.0,22.0,1,177.0,0.1718997348665106
1747515600000,2025-05-17 21:00:00,2025-05-17,21:00:00,21,Saturday,103141.0,103374.0,102986.0,103005.0,2029.0,388.0,136.0,233.0,19.0,0,-136.0,-0.13185832985912488
1747519200000,2025-05-17 22:00:00,2025-05-17,22:00:00,22,Saturday,103000.0,103216.0,102941.0,103168.0,1345.0,275.0,168.0,48.0,59.0,1,168.0,0.16310679611650486
1747522800000,2025-05-17 23:00:00,2025-05-17,23:00:00,23,Saturday,103165.0,103432.0,103095.0,103404.0,1519.0,337.0,239.0,28.0,70.0,1,239.0,0.23166771676440653
1747526400000,2025-05-18 00:00:00,2025-05-18,00:00:00,0,Sunday,103346.0,103493.0,103140.0,103265.0,1504.0,353.0,81.0,147.0,125.0,0,-81.0,-0.07837748921099993
1747530000000,2025-05-18 01:00:00,2025-05-18,01:00:00,1,Sunday,103256.0,103268.0,102922.0,103053.0,1742.0,346.0,203.0,12.0,131.0,0,-203.0,-0.19659874486712636
1747533600000,2025-05-18 02:00:00,2025-05-18,02:00:00,2,Sunday,103054.0,103232.0,102968.0,103146.0,1802.0,264.0,92.0,86.0,86.0,1,92.0,0.08927358472257263
1747537200000,2025-05-18 03:00:00,2025-05-18,03:00:00,3,Sunday,103168.0,103427.0,103114.0,103391.0,2036.0,313.0,223.0,36.0,54.0,1,223.0,0.2161522952853598
1747540800000,2025-05-18 04:00:00,2025-05-18,04:00:00,4,Sunday,103393.0,103420.0,103148.0,103269.0,1044.0,272.0,124.0,27.0,121.0,0,-124.0,-0.11993074966390375
1747544400000,2025-05-18 05:00:00,2025-05-18,05:00:00,5,Sunday,103268.0,103374.0,103255.0,103355.0,802.0,119.0,87.0,19.0,13.0,1,87.0,0.0842468141147306
1747548000000,2025-05-18 06:00:00,2025-05-18,06:00:00,6,Sunday,103355.0,103402.0,103147.0,103303.0,1047.0,255.0,52.0,47.0,156.0,0,-52.0,-0.05031203134826569
1747551600000,2025-05-18 07:00:00,2025-05-18,07:00:00,7,Sunday,103304.0,103446.0,103304.0,103365.0,620.0,142.0,61.0,81.0,0.0,1,61.0,0.05904902036707194
1747555200000,2025-05-18 08:00:00,2025-05-18,08:00:00,8,Sunday,103366.0,103691.0,103366.0,103654.0,824.0,325.0,288.0,37.0,0.0,1,288.0,0.27862159704351525
1747558800000,2025-05-18 09:00:00,2025-05-18,09:00:00,9,Sunday,103654.0,103686.0,103380.0,103487.0,1008.0,306.0,167.0,32.0,107.0,0,-167.0,-0.16111293341308583
1747562400000,2025-05-18 10:00:00,2025-05-18,10:00:00,10,Sunday,103487.0,103986.0,103453.0,103927.0,907.0,533.0,440.0,59.0,34.0,1,440.0,0.4251741764666093
1747566000000,2025-05-18 11:00:00,2025-05-18,11:00:00,11,Sunday,103930.0,104044.0,103821.0,103912.0,1283.0,223.0,18.0,114.0,91.0,0,-18.0,-0.017319349562205332
1747569600000,2025-05-18 12:00:00,2025-05-18,12:00:00,12,Sunday,103913.0,104031.0,103844.0,103870.0,918.0,187.0,43.0,118.0,26.0,0,-43.0,-0.04138077045220521
1747573200000,2025-05-18 13:00:00,2025-05-18,13:00:00,13,Sunday,103871.0,103932.0,103796.0,103860.0,766.0,136.0,11.0,61.0,64.0,0,-11.0,-0.010590058822963098
1747576800000,2025-05-18 14:00:00,2025-05-18,14:00:00,14,Sunday,103858.0,104011.0,103804.0,103812.0,872.0,207.0,46.0,153.0,8.0,0,-46.0,-0.04429124381366866
1747580400000,2025-05-18 15:00:00,2025-05-18,15:00:00,15,Sunday,103810.0,103960.0,103708.0,103955.0,838.0,252.0,145.0,5.0,102.0,1,145.0,0.13967825835661304
1747584000000,2025-05-18 16:00:00,2025-05-18,16:00:00,16,Sunday,103956.0,104808.0,103908.0,104744.0,1958.0,900.0,788.0,64.0,48.0,1,788.0,0.758013005502328
1747587600000,2025-05-18 17:00:00,2025-05-18,17:00:00,17,Sunday,104744.0,105552.0,104561.0,105282.0,3576.0,991.0,538.0,270.0,183.0,1,538.0,0.5136332391354159
1747591200000,2025-05-18 18:00:00,2025-05-18,18:00:00,18,Sunday,105284.0,105683.0,104981.0,105528.0,3380.0,702.0,244.0,155.0,303.0,1,244.0,0.23175411268568824
